google,link,Gender,Rank,year,ecology,macroecology_081512,communityecology_073112,conservation biology 082112,physiological ecology_073112,behavioral ecology 080712,behavioural ecology080912,ecosystem ecology 081912,population_ecology_080912,evolutionary_ecology 080212,theoretical_ecology081412,landscape_ecology081512,paleoecology081512
Adam James Bates,http://scholar.google.com/citations?user=IIKFMKoAAAAJ&hl=en,m,,2005,1265,,,,,,,,,,,,
Adam Kun,http://scholar.google.com/citations?user=71zsNL0AAAAJ&hl=en,m,,2003,,,,,,,48,,,,,98,
Adam L. Cronin,http://scholar.google.com/citations?user=Etv2WgIAAAAJ&hl=en,m,,-999,1048,,,,,,,,,,,,
Adam Langley,http://scholar.google.com/citations?user=3sgMPnsAAAAJ&hl=en,m,assistant,2005,763,,,,,,,,,,,,
Adam M. Wilson,http://scholar.google.com/citations?user=zgVlijsAAAAJ&hl=en,m,postdoc,-999,952,,,,,,,,,,,,
Adam Pellegrini,http://scholar.google.com/citations?user=kwqdI-cAAAAJ&hl=en,m,student,0,1622,,,,,,,,,,79,,
Adam Schwindt,http://scholar.google.com/citations?user=JnpSKBkAAAAJ&hl=en,m,,-999,,,,,,,,,69,,,,
Adam W. Ferguson,http://scholar.google.com/citations?user=lQOzWzQAAAAJ&hl=en,m,student,0,,,,,,,,,,253,,,
Adelaide (Di) C. Johnson,http://scholar.google.com/citations?user=kDw46b0AAAAJ&hl=en,f,student,0,961,,,,,,,,,,,,
Adena Leibman,http://scholar.google.com/citations?user=5f9igYIAAAAJ&hl=en,f,student,0,,,,699,,,,,,,,,
Adolfo Cordero Rivera,http://scholar.google.com/citations?user=0zJ9BUMAAAAJ&hl=en,m,,1991,378,,,138,,,,,,,,,
Adrian Antonio Garda,http://scholar.google.com/citations?user=6ceNH50AAAAJ&hl=en,m,,2007,1006,,,382,,,,,,,,,
Adrian Gleiss,http://scholar.google.com/citations?user=NP98vyUAAAAJ&hl=en,m,postdoc,2011,,,,,34,,,,,,,,
Adrian Stier,http://scholar.google.com/citations?user=bxbOvMgAAAAJ&hl=en,m,postdoc,2012,1166,,163,481,,,,,65,,,,
Adriana Giangrande,,,,1986,,,,,,,,,,,,,
Adriana Ruggiero,http://scholar.google.com/citations?user=xRhlUHgAAAAJ&hl=en,f,,-999,,47,,,,,,,,,,,
Adriano Garcia Chiarello,http://scholar.google.com/citations?user=jdunzZUAAAAJ&hl=en,m,,1998,474,,,166,,,,,,,,,
Adriano Paglia,http://scholar.google.com/citations?user=Uz-cGuIAAAAJ&hl=en,m,,-999,,,,347,,,,,,,,,
Adriano S. Melo,http://scholar.google.com/citations?user=o2xL_7cAAAAJ&hl=en,m,,2002,,,86,,,,,,,,,,
Adrien C Finzi,http://scholar.google.com/citations?user=e2WTcr0AAAAJ&hl=en,,full,1996,150,,,,,,,,,,,,
Adrien Cheminee,http://scholar.google.com/citations?user=18IPbrAAAAAJ&hl=en,m,student,0,,,,,,,,,,,,172,
Adrienne MS Correa,http://scholar.google.com/citations?user=qhLQPx4AAAAJ&hl=en,,,2009,,,167,,,,,,,,,,
Ahmed El-Gabbas,http://scholar.google.com/citations?user=hJ0tB04AAAAJ&hl=en,m,,-999,1486,,,,,,,,,,,,
Aidan O' Donnell,http://scholar.google.com/citations?user=scj1vZ4AAAAJ&hl=en,m,,-999,1609,,,,,,,,,,,,
Aidan O'Donnell,http://scholar.google.com/citations?user=scj1vZ4AAAAJ&hl=en,m,student,0,,,,,,,,,,260,,,
Aimee T. Classen,http://scholar.google.com/citations?user=8Hmz_P4AAAAJ&hl=en,f,associate,2004,,,,,,,,37,,,,,
Airam Rodriguez,http://scholar.google.com/citations?user=PMpkVqMAAAAJ&hl=en,m,student,0,,,,455,,,,,,,,,
Aitor Gaston,http://scholar.google.com/citations?user=qo1nSMUAAAAJ&hl=en,m,,-999,1430,,,,,,,,,,,,
AJHendricks,http://scholar.google.com/citations?user=wF2uou4AAAAJ&hl=en,m,full,1995,350,,,,,,,,,,,,
Akhilesh Raghubanshi,http://scholar.google.com/citations?user=EA_lB7sAAAAJ&hl=en,m,,-999,443,,,,,,,,,,,,
Akifumi S. Tanabe,http://scholar.google.com/citations?user=2EH-7ekAAAAJ&hl=en,,postdoc,2008,1225,,,,,,,,,,,,
Akihiro Nakamura,http://scholar.google.com/citations?user=sDh4uTYAAAAJ&hl=en,m,postdoc,-999,,,194,,,,,,,,,,
Akihito Ito,http://scholar.google.com/citations?user=CfB25zkAAAAJ&hl=en,,,-999,,,,,,,,46,,,,,
Akira Iguchi,http://scholar.google.com/citations?user=iHd4zcsAAAAJ&hl=en,m,,2008,1080,,,,,,,,,,,,
Akos Pogany,http://scholar.google.com/citations?user=wK1loZAAAAAJ&hl=en,m,,-999,,,,,,,97,,,,,,
Al S Glen,http://scholar.google.com/citations?user=4ZZrhMQAAAAJ&hl=en,m,,2005,799,,,298,,,,,,,,,
Alain Maasri,http://scholar.google.com/citations?user=qrqAtogAAAAJ&hl=en,m,,2007,,,235,,,,,,,,,,
Alan A Cohen,http://scholar.google.com/citations?user=oWi0OZ0AAAAJ&hl=en,m,associate,2007,806,,,,,,,,,,,,
Alan Barrett,http://scholar.google.com/citations?user=rxAXHBYAAAAJ&hl=en,m,,2010,1545,,,,,,,,,,,,
Alan Hastings,http://scholar.google.com/citations?user=QPeYICIAAAAJ&hl=en,m,full,1977,,,,10,,,,,,,1,,
Alan Hildrew,http://scholar.google.com/citations?user=erToTmoAAAAJ&hl=en,m,full,-999,85,,,,,,,,,,,,
Alan M. Vajda,http://scholar.google.com/citations?user=VuxvzxQAAAAJ&hl=en,m,assistant,2006,,,,361,,,,,,,,,
Alan Wilson,http://scholar.google.com/citations?user=D1WeWugAAAAJ&hl=en,m,,2006,720,,,,,,,,,,,,
Alastair Harbone,http://scholar.google.com/citations?user=LcANET4AAAAJ&hl=en,m,,2006,389,,,,,,,,,,,,
Albert B Phillimore,http://scholar.google.com/citations?user=4fLwFGoAAAAJ&hl=en,m,,2006,,44,,,,,,,,,,,
Albert Kirk Smith,http://scholar.google.com/citations?user=39lqi4sAAAAJ&hl=en,m,,2011,1722,,,,,,,,,,,,
Albert Ruhi,http://scholar.google.com/citations?user=DWUiUtAAAAAJ&hl=en,m,postdoc,2011,,129,,,,,,,,,,,
Alberto Jimenez-Valverde,http://scholar.google.com/citations?user=5V7lrHYAAAAJ&hl=en,m,,-999,375,,,,,,,,,,,,
Alberto Velando,http://scholar.google.com/citations?user=3cngHSsAAAAJ&hl=en,m,associate,-999,,,,,,,27,,,,,,
Albrecht Schulte-Hostedde,http://scholar.google.com/citations?user=rvneI7UAAAAJ&hl=en,m,,2001,,,,,,,32,,,,,,
Aldo Marchetto,http://scholar.google.com/citations?user=_DuzFgcAAAAJ&hl=en,m,,1991,309,,,,,,,,,,,,
Aleem Ahmed Khan,http://scholar.google.com/citations?user=-x0D_6oAAAAJ&hl=en,m,,-999,646,,,231,,,,,,,,,
Alejandra Domic,http://scholar.google.com/citations?user=NyttJaAAAAAJ&hl=en,f,student,0,,,,703,,,,,,,,,
Alejandro Bortolus,http://scholar.google.com/citations?user=itRhVJQAAAAJ&hl=en,m,,2001,625,,,,,,,,,,,,
Alejandro C Costamagna,http://scholar.google.com/citations?user=7t0uFMgAAAAJ&hl=en,m,assistant,2006,,,,,,,,,,,,80,
Alejandro Lopez-Lopez,http://scholar.google.com/citations?user=KvrLPKkAAAAJ&hl=en,m,student,0,,,,756,,,,,,,,,
Alejandro Royo,http://scholar.google.com/citations?user=KB7PvGIAAAAJ&hl=en,m,,2005,921,,,,,,,,,,,,
Alejandro Rozenfeld,http://scholar.google.com/citations?user=U4jAyVIAAAAJ&hl=en,m,,2003,819,,,,,,,,,,,,
Alejandro Ruete,http://scholar.google.com/citations?user=48mGRJYAAAAJ&hl=en,m,student,0,,,,731,,,,,,,,178,
Alessandra Negri,http://scholar.google.com/citations?user=52Wkn6IAAAAJ&hl=en,f,,1989,,,,,,,,,,,,,29
Alessandro Catenazzi,http://scholar.google.com/citations?user=xJK0wK0AAAAJ&hl=en,m,postdoc,2006,1092,,,,,,,,,,,,
Alessandro Chiarucci,http://scholar.google.com/citations?user=TFRp4PoAAAAJ&hl=en,m,,-999,,,40,143,,,,,,,,,
Alessandro Ferrarini,http://scholar.google.com/citations?user=wjLB0cMAAAAJ&hl=en,m,,-999,,,,,,,,,,,50,110,
Alessandro Massolo,http://scholar.google.com/citations?user=MYeoNt4AAAAJ&hl=en,m,assistant,-999,577,,,,,,,,,,,,
Alex E Jahn,http://scholar.google.com/citations?user=_eGG2d8AAAAJ&hl=en,m,,-999,,,,,,,,,,185,,,
Alex Ford,http://scholar.google.com/citations?user=46v3nPoAAAAJ&hl=en,m,reader,2004,807,,,,,,,,,,,,
Alex Ford,,,,,813,,,,,,,,,,,,
Alex Kraaijeveld,http://scholar.google.com/citations?user=bWmpSpoAAAAJ&hl=en,m,lecturer,-999,344,,,,,,,,,,,,
Alex Kutt,http://scholar.google.com/citations?user=TLfmeYIAAAAJ&hl=en,m,,2004,778,,,,,,,,,,,,
Alex Laini,http://scholar.google.com/citations?user=i7DzH8sAAAAJ&hl=en,,,2012,1470,,,,,,,,,,,,
Alex M Thompson,http://scholar.google.com/citations?user=pc1MNtIAAAAJ&hl=en,m,student,0,,,,,,,109,,,,,,
Alex M. Chubaty,http://scholar.google.com/citations?user=MnxAoasAAAAJ&hl=en,m,student,0,,,,,,,112,,,,,,
Alex T Kalinka,http://scholar.google.com/citations?user=nXgc1qAAAAAJ&hl=en,m,postdoc,-999,1298,,,,,,,,,,,,
Alexander C. Lees,http://scholar.google.com/citations?user=w-D0WAgAAAAJ&hl=en,m,,2008,874,,,340,,,,,,,,,
Alexander D. Hernandez,,,,,,,160,,,,,,63,,,,
Alexander DM Wilson,http://scholar.google.com/citations?user=5uSYhLQAAAAJ&hl=en,m,postdoc,-999,,,,,,107,,,,,,,
Alexander Fremier,http://scholar.google.com/citations?user=oXmeAFsAAAAJ&hl=en,m,assistant,2007,1095,,,,,,,,,,,,
Alexander Hernandez,http://scholar.google.com/citations?user=asryvH0AAAAJ&hl=en,m,postdoc,2006,,,156,,,117,,,62,,,,
Alexander Kubisch,http://scholar.google.com/citations?user=TnW1O4wAAAAJ&hl=en,m,postdoc,2012,,,,,,,,,,243,,,
Alexander Kupfer,http://scholar.google.com/citations?user=F-3QqvsAAAAJ&hl=en,m,,-999,792,,,,,,,,,,,,
Alexander RA Anderson,http://scholar.google.com/citations?user=Do5WhvYAAAAJ&hl=en,m,,-999,215,,,,,,,,,,,,
Alexander Suvorov,http://scholar.google.com/citations?user=trt_0JMAAAAJ&hl=en,m,postdoc,-999,,,,526,,,,,,,,,
"Alexander T. Baugh, Ph.D.",http://scholar.google.com/citations?user=wwKYVaIAAAAJ&hl=en,m,,2009,,,,,,112,,,,,,,
Alexander V. Georgiev,http://scholar.google.com/citations?user=HAeG0ogAAAAJ&hl=en,m,student,0,,,,,,145,,,,,,,
Alexander Wolfe,http://scholar.google.com/citations?user=YTqvVFcAAAAJ&hl=en,m,full,1994,,,,,,,,,,,,,10
Alexandra Alvergne,http://scholar.google.com/citations?user=QvZGpioAAAAJ&hl=en,f,postdoc,2008,,,,,,,67,,,,,,
Alexandre Brago Bonaldo,http://scholar.google.com/citations?user=asT9oqIAAAAJ&hl=en,m,,1995,658,,,,,,,,,,,,
Alexandre Camargo Martensen,http://scholar.google.com/citations?user=akY5N4EAAAAJ&hl=en,m,,-999,,,,,,,,,,,,76,
Alexandre Caron,http://scholar.google.com/citations?user=H4iaWJoAAAAJ&hl=en,m,,2000,981,,,,,,,,,,,,
Alexandre Courtiol,http://scholar.google.com/citations?user=tyq-eagAAAAJ&hl=en,m,,2009,1277,,,,,,,,,,,,
Alexandre Zerbini,http://scholar.google.com/citations?user=30568c4AAAAJ&hl=en,m,,2006,,,,237,,,,,,,,,
Alexandros A. Karamanlidis,http://scholar.google.com/citations?user=0G_GekcAAAAJ&hl=en,m,,-999,,,,458,,,,,,,,,
Alexei V. Abramov,http://scholar.google.com/citations?user=J6DSGDMAAAAJ&hl=en,m,,1999,,,,245,,,,,,,,,
Alexey Ryabov,http://scholar.google.com/citations?user=Dd4l-QEAAAAJ&hl=en,m,postdoc,2002,970,,,,,,,,,,,,
Alf Norkko,,,,1997,,,,,,,,,,,,,
Alfan Rija,http://scholar.google.com/citations?user=tOE5Oh0AAAAJ&hl=en,,,-999,1674,,,,,,,,,,,,
Alfonso Aguilar-Perera,http://scholar.google.com/citations?user=UAxrNQYAAAAJ&hl=en,m,,2004,,,,370,,,,,,,,,
Alfredo da Costa Pereira Junior,http://scholar.google.com/citations?user=qi3gmbMAAAAJ&hl=en,m,,2002,1055,,,,,,,,,,,,
ALFREDO G. NICIEZA,http://scholar.google.com/citations?user=lvSFkTwAAAAJ&hl=en,m,,1993,,,,151,,,,,,70,,,
Alfredo Romero Munoz,http://scholar.google.com/citations?user=NPl4S80AAAAJ&hl=en,m,,-999,1579,,,680,,,,,,,,,
Alfredo Salvador,http://scholar.google.com/citations?user=xOxeEpcAAAAJ&hl=en,m,,-999,405,,,,,,,,,,,,
alfredo valido,http://scholar.google.com/citations?user=vMemrEEAAAAJ&hl=en,,,-999,,,,,,,,,,97,,,
Alicia Valdes,http://scholar.google.com/citations?user=tFVroCAAAAAJ&hl=en,f,postdoc,2011,1569,,,,,,,,,,,,
Alienor LM Chauvenet,http://scholar.google.com/citations?user=obAnJk0AAAAJ&hl=en,f,student,0,1561,,,683,,,,,,,,,
Alison Boyer,http://scholar.google.com/citations?user=zhMURM8AAAAJ&hl=en,f,,2008,,69,,,,,,,,,,,43
Alison Cameron,http://scholar.google.com/citations?user=816P-c8AAAAJ&hl=en,f,assistant,2005,,,,77,,,,,,,,,
Alison Jones,http://scholar.google.com/citations?user=T_5V1RMAAAAJ&hl=en,f,,-999,,,,376,,,,,,,,,
Alison Matthews,http://scholar.google.com/citations?user=_CWOX7wAAAAJ&hl=en,f,assistant,2011,820,,,,,,,,,,,,
Alistair G Auffret,http://scholar.google.com/citations?user=5GPHKbIAAAAJ&hl=en,m,student,0,1630,,,,,,,,,,,,
Alistair WA Murray,http://scholar.google.com/citations?user=Jq4aFdsAAAAJ&hl=en,m,,-999,374,,,,,,,,,,,,
Allan G. Ellis,http://scholar.google.com/citations?user=oYDWGmYAAAAJ&hl=en,m,,-999,,,,,,,,,,130,,,
Allen Hurlbert,http://scholar.google.com/citations?user=u-w6khsAAAAJ&hl=en,m,assistant,2005,,25,49,,,,,,,,,,
Allen J. Moore,http://scholar.google.com/citations?user=TkCvgAEAAAAJ&hl=en,,,1988,,,,,,,,,,,,,
Allison Pease,http://scholar.google.com/citations?user=-bOg1uMAAAAJ&hl=en,f,assistant,2010,,,236,,,,,,,,,,
Alok Bang,http://scholar.google.com/citations?user=Vmo7Sl8AAAAJ&hl=en,m,postdoc,-999,,,252,,,,,,,,,,
Alva Curtsdotter,http://scholar.google.com/citations?user=0Smp25IAAAAJ&hl=en,f,student,0,,,260,,,,,,95,,71,,
Alvaro Sanchez,http://scholar.google.com/citations?user=dt8_0JAAAAAJ&hl=en,,,2011,,,,,,,,,,229,,,
Alvin Y. Chan,http://scholar.google.com/citations?user=uEWv9pAAAAAJ&hl=en,m,student,0,1396,,,612,,,,,,,,,
AM Dunn,http://scholar.google.com/citations?user=b0XVV2IAAAAJ&hl=en,f,reader,1990,337,,,,,,,,,,,,
Amanda Gibson,http://scholar.google.com/citations?user=QrIMPsYAAAAJ&hl=en,f,student,0,1424,,,,,,,,,,,,
Amanda J Zellmer,http://scholar.google.com/citations?user=CTfvjLkAAAAJ&hl=en,f,,2010,1157,,,452,,,,,,,,,
Amanda J. Stock,http://scholar.google.com/citations?user=EKzaZNsAAAAJ&hl=en,f,student,0,,,,,,,,,,259,,,
Amanda Ridley,http://scholar.google.com/citations?user=T2euahYAAAAJ&hl=en,f,,2003,,,,,,,50,,,,,,
Amanda Rodewald,http://scholar.google.com/citations?user=ev0tSJIAAAAJ&hl=en,f,full,2000,510,,,,,,,,,,,,
Amber N Stokes,http://scholar.google.com/citations?user=0OmdRRgAAAAJ&hl=en,f,student,0,1616,,,,,,,,,,,,
Amber Wright,http://scholar.google.com/citations?user=WiY-W_wAAAAJ&hl=en,f,postdoc,2009,1066,,,,,,,,,,,,
AMH Brunsting,http://scholar.google.com/citations?user=h2Z7zVwAAAAJ&hl=en,,,-999,559,,,,,,,,,,27,,
Amin sedaratian,http://scholar.google.com/citations?user=KULgJXgAAAAJ&hl=en,m,student,0,,,,,,,,,96,,,,
Amiyaal Ilany,http://scholar.google.com/citations?user=zjP6gQIAAAAJ&hl=en,,student,0,,,,,,183,,,,,,,
amos maritan,http://scholar.google.com/citations?user=4mwFUXwAAAAJ&hl=en,m,full,-999,51,,,,,,,,,,,,
Amro Zayed,http://scholar.google.com/citations?user=un4Voy4AAAAJ&hl=en,m,assistant,2006,791,,,,,,,,,,,,
Amy Dunham,http://scholar.google.com/citations?user=bzw5nP8AAAAJ&hl=en,f,,2003,,,,,,,,,,174,,,
Amy G. Vandergast,http://scholar.google.com/citations?user=EVohj5AAAAAJ&hl=en,f,,2002,,,,413,,,,,,,,,
Amy Mertl,http://scholar.google.com/citations?user=hpupTwkAAAAJ&hl=en,f,,2009,,,209,,,,,,,,,,
Amy Parachnowitsch,http://scholar.google.com/citations?user=YBQQcMsAAAAJ&hl=en,f,,-999,,,,,,,,,,201,,,
Amy T. Austin,http://scholar.google.com/citations?user=-K1-y5kAAAAJ&hl=en,f,assistant,1997,,,,,,,,22,,,,,
Amy Zanne,http://scholar.google.com/citations?user=H2fDZJ0AAAAJ&hl=en,f,assistant,2003,532,,,,,,,,,,,,
An Vanden Broeck,http://scholar.google.com/citations?user=dimE9OQAAAAJ&hl=en,f,,-999,777,,,380,,,,,,,,,
Ana Benitez-Lopez,http://scholar.google.com/citations?user=HC_j51sAAAAJ&hl=en,f,student,0,1352,,,579,,,,,,,,,
Ana Carolina Oliveira de Meirelles,http://scholar.google.com/citations?user=Z8eu_8QAAAAJ&hl=en,f,,-999,1408,,,,,,,,,,,,
Ana Catarino,http://scholar.google.com/citations?user=qUPtd1sAAAAJ&hl=en,f,,2011,1259,,,,,,,,,,,,
Ana CM Malhado,http://scholar.google.com/citations?user=bLCDtnAAAAAJ&hl=en,f,,-999,1211,,,,,,,,,,,,
Ana D. Davidson,http://scholar.google.com/citations?user=2yw5_IYAAAAJ&hl=en,f,,2005,1000,78,131,,,,,,,,,,
Ana E Escalante,http://scholar.google.com/citations?user=UQmdPmoAAAAJ&hl=en,f,,-999,996,,,,,,,,,,,,
Ana Luz Marquez,http://scholar.google.com/citations?user=JvujdaYAAAAJ&hl=en,f,,1996,,,,331,,,,,,,,,
Ana Maria Pires,http://scholar.google.com/citations?user=ywb0ko0AAAAJ&hl=en,f,assistant,1989,984,,,366,,,,,,,,,
Ana MC Santos,http://scholar.google.com/citations?user=qz1NXsgAAAAJ&hl=en,f,postdoc,-999,,,175,,,,,,,,,,
Ana Rainho,http://scholar.google.com/citations?user=hWCsjXUAAAAJ&hl=en,f,student,0,,,,,,,,,,,,99,
Ana Rosa Gomez Cano,http://scholar.google.com/citations?user=UDi4-aUAAAAJ&hl=en,f,student,0,,132,,,,,,,,,,,
Ana Ruiz-Navarro,http://scholar.google.com/citations?user=zkgyUaAAAAAJ&hl=en,f,,-999,1484,,,,,,,,,,,,
Ana Sanz-Aguilar,http://scholar.google.com/citations?user=58I_1-AAAAAJ&hl=en,f,postdoc,2008,,,,,,,,,76,,,,
Ana Villarroya,http://scholar.google.com/citations?user=zEdNYK4AAAAJ&hl=en,f,,2012,,,,691,,,,,,,,,
Anand Padhye,http://scholar.google.com/citations?user=bTpxqJgAAAAJ&hl=en,m,associate,-999,,,,569,,,,,,,,,
Anders Galatius,http://scholar.google.com/citations?user=i7AAZWsAAAAJ&hl=en,m,,-999,1275,,,,,,,,,,,,
Andras Baldi,http://scholar.google.com/citations?user=cWsTzs4AAAAJ&hl=en,m,,1996,,,,154,,,,,,,,,
Andras Tartally,http://scholar.google.com/citations?user=vhLGix0AAAAJ&hl=en,m,assistant,2008,1086,,,403,,,,,,,,,
Andre Padial,http://scholar.google.com/citations?user=FaYsxfkAAAAJ&hl=en,m,,2010,1180,,176,,,,,,,,,,
Andre Rodrigues,http://scholar.google.com/citations?user=WtgiU0EAAAAJ&hl=en,m,,2009,983,,,,,,,,,,,,
Andre Teixeira da Silva,http://scholar.google.com/citations?user=oRWTTd8AAAAJ&hl=en,m,,-999,,,,714,,,,,,,,,
Andrea Bonisoli Alquati,http://scholar.google.com/citations?user=p0eGXuYAAAAJ&hl=en,m,postdoc,2010,,,,,,93,,,,,,,
Andrea Cardoso Araujo,http://scholar.google.com/citations?user=MAiv31AAAAAJ&hl=en,f,,-999,,,136,,,,,,,,,,
Andrea D. Marshall,http://scholar.google.com/citations?user=wQG0OaoAAAAJ&hl=en,f,,-999,,,,435,,,,,,,,,
Andrea E. Byrom,http://scholar.google.com/citations?user=ymlupZEAAAAJ&hl=en,f,,1997,706,,,,,,,,27,,,,
Andrea Griffin,http://scholar.google.com/citations?user=xnSRHe8AAAAJ&hl=en,f,assistant,2002,,,,235,,,,,,,,,
Andrea Liebl,http://scholar.google.com/citations?user=6NV95BAAAAAJ&hl=en,f,student,0,1341,,,,,,,,,,,,
Andrea Manica,http://scholar.google.com/citations?user=v8V058QAAAAJ&hl=en,m,associate,-999,,,,,,,,,,44,,,
Andrea Nicastro,http://scholar.google.com/citations?user=bDcM2RAAAAAJ&hl=en,m,student,0,,,293,,,,,,,,,,
Andrea R Litt,http://scholar.google.com/citations?user=JnXeIdkAAAAJ&hl=en,f,assistant,2007,,,153,,,,,,61,,,,
Andrea Roche,http://scholar.google.com/citations?user=1CyALAQAAAAJ&hl=en,f,,-999,1450,,,,,,,,,,,,
Andrea Thorpe,http://scholar.google.com/citations?user=lGFJ9yAAAAAJ&hl=en,f,,2006,,,,387,,,,,,,,,
Andreas Jurgens,http://scholar.google.com/citations?user=mXZQj-IAAAAJ&hl=en,m,,1998,,,,,,,,,,98,,,
Andreas Modlmeier,http://scholar.google.com/citations?user=3W-rOOAAAAAJ&hl=en,m,,-999,,,,,,184,,,,,,,
Andres Baselga,http://scholar.google.com/citations?user=KXl-yrYAAAAJ&hl=en,m,postdoc,2002,,42,,,,,,,,,,,
Andres Etter,http://scholar.google.com/citations?user=8IQywO4AAAAJ&hl=en,m,full,2006,563,,,,,,,,,,,,
Andres Lopez-Sepulcre,http://scholar.google.com/citations?user=X3b3M_8AAAAJ&hl=en,m,,2007,754,,,,,,,,,,,,
Andres Millan,http://scholar.google.com/citations?user=mtzFUDcAAAAJ&hl=en,m,,1991,,,,191,,,,,,,,,
Andres Parada,http://scholar.google.com/citations?user=YUlU_xoAAAAJ&hl=en,m,student,0,1562,,,,,,,,,,,,
Andrew A Burbidge,http://scholar.google.com/citations?user=ioaoZEkAAAAJ&hl=en,m,,-999,310,,,,,,,,,,,,
Andrew A. Forbes,http://scholar.google.com/citations?user=2lbWNPAAAAAJ&hl=en,m,assistant,2008,,,,,,,,,,144,,,
Andrew Allen,http://scholar.google.com/citations?user=sqRoRjIAAAAJ&hl=en,m,associate,2003,,9,,,,,,,,,,,
Andrew Bennett,http://scholar.google.com/citations?user=qsj9puwAAAAJ&hl=en,m,,-999,,,,,,,,,,,,10,
Andrew BH Rees,http://scholar.google.com/citations?user=o1CrKOwAAAAJ&hl=en,m,student,0,,,,,,,,,,,,,84
Andrew Boyce,http://scholar.google.com/citations?user=jxSym1gAAAAJ&hl=en,m,student,0,,,320,,,,,,,,,,
Andrew Cockburn,http://scholar.google.com/citations?user=HzupDnMAAAAJ&hl=en,m,,-999,,,,,,,,,,19,,,
Andrew Edelman,http://scholar.google.com/citations?user=ih6FZEYAAAAJ&hl=en,m,assistant,2010,1250,,,501,,,,,,,,,
Andrew Gonzalez,http://scholar.google.com/citations?user=nxg3KqkAAAAJ&hl=en,m,associate,1998,230,,,,,,,,,,,,
Andrew J Elmore,http://scholar.google.com/citations?user=c8BwJOYAAAAJ&hl=en,m,associate,2003,,,,,,,,,,,,44,
Andrew J King,http://scholar.google.com/citations?user=riaX3CEAAAAJ&hl=en,m,,2008,,,184,,,,47,,,,,,
Andrew J Suggitt,http://scholar.google.com/citations?user=a8F7H00AAAAJ&hl=en,m,student,0,1498,,,649,,,,,,,,,
Andrew J Suggitt,http://scholar.google.com/citations?user=a8F7H00AAAAJ&hl=en,m,student,0,,,,651,,,,,,,,,
